id,name,url,region_id,role_id,subrole_id,salary_from,salary_to,salary_currency,salary_gross,salary_mode_id,salary_frequency_id,schedule_id
118213172,Автоэлектрик/электромонтер по ремонту автомобилей,https://api.hh.ru/vacancies/118213172?host=hh.ru,1255,17,5,50000.0,,RUR,False,MONTH,,fullDay
127753122,Специалист по ремонту двигателей внутреннего сгорания автомобилей и строительно-дорожных машин,https://api.hh.ru/vacancies/127753122?host=hh.ru,1255,17,5,64197.0,64197.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
127073809,Слесарь по ремонту ДСТ (дорожно строительная техника),https://api.hh.ru/vacancies/127073809?host=hh.ru,1255,17,5,170000.0,185000.0,RUR,False,MONTH,TWICE_PER_MONTH,flyInFlyOut
127806162,Слесарь по ремонту автомобилей,https://api.hh.ru/vacancies/127806162?host=hh.ru,1255,17,5,68000.0,,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
123871989,Автослесарь-моторист,https://api.hh.ru/vacancies/123871989?host=hh.ru,1255,17,5,80000.0,100000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
127693018,Моторист,https://api.hh.ru/vacancies/127693018?host=hh.ru,1255,17,5,250000.0,250000.0,RUR,False,MONTH,,flyInFlyOut
128413608,Автоэлектрик Scania,https://api.hh.ru/vacancies/128413608?host=hh.ru,1255,17,5,150000.0,150000.0,RUR,False,FLY_IN_FLY_OUT,TWICE_PER_MONTH,flyInFlyOut
127894720,Слесарь по ремонту грузовых автомобилей,https://api.hh.ru/vacancies/127894720?host=hh.ru,1255,17,5,80000.0,110000.0,RUR,False,MONTH,,shift
128113665,Слесарь ДСМ и Т,https://api.hh.ru/vacancies/128113665?host=hh.ru,1255,17,5,180000.0,200000.0,RUR,False,MONTH,TWICE_PER_MONTH,flyInFlyOut
108095999,Слесарь по ремонту автомобилей,https://api.hh.ru/vacancies/108095999?host=hh.ru,1255,17,5,60000.0,,RUR,False,MONTH,,fullDay
127484317,Моторист (слесарь по ремонту автомобилей 6 разряда),https://api.hh.ru/vacancies/127484317?host=hh.ru,1255,17,5,320000.0,,RUR,False,FLY_IN_FLY_OUT,TWICE_PER_MONTH,flyInFlyOut
103230655,Моторист / Сервисный специалист по ремонту ДВС,https://api.hh.ru/vacancies/103230655?host=hh.ru,1255,17,5,260000.0,,RUR,False,MONTH,TWICE_PER_MONTH,flyInFlyOut
127981169,Менеджер по продаже автозапчастей,https://api.hh.ru/vacancies/127981169?host=hh.ru,1255,19,62,65000.0,150000.0,RUR,False,MONTH,,fullDay
127816741,Мастер-приемщик автосервис FourV,https://api.hh.ru/vacancies/127816741?host=hh.ru,1255,19,62,50000.0,190000.0,RUR,False,MONTH,,shift
127848966,Мастер-приёмщик,https://api.hh.ru/vacancies/127848966?host=hh.ru,1255,19,62,45000.0,65000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
127848965,Мастер-приемщик,https://api.hh.ru/vacancies/127848965?host=hh.ru,1255,19,62,40000.0,196735.0,RUR,False,MONTH,,fullDay
127825237,Специалист сервисного центра / мастер по ремонту смартфонов,https://api.hh.ru/vacancies/127825237?host=hh.ru,1255,19,62,40000.0,70000.0,RUR,False,MONTH,TWICE_PER_MONTH,flexible
128511829,Менеджер по работе с водителями,https://api.hh.ru/vacancies/128511829?host=hh.ru,1255,21,70,65000.0,85000.0,RUR,True,MONTH,TWICE_PER_MONTH,fullDay
128550761,Менеджер по продажам,https://api.hh.ru/vacancies/128550761?host=hh.ru,1255,21,70,90000.0,,RUR,True,MONTH,TWICE_PER_MONTH,fullDay
128462340,Специалист отдела продаж нефтепродуктов,https://api.hh.ru/vacancies/128462340?host=hh.ru,1255,21,70,40000.0,400000.0,RUR,False,MONTH,,fullDay
126063446,Менеджер - Специалист по выдаче займов,https://api.hh.ru/vacancies/126063446?host=hh.ru,1255,21,70,40230.0,51724.0,RUR,True,MONTH,TWICE_PER_MONTH,fullDay
128405956,Торговый представитель,https://api.hh.ru/vacancies/128405956?host=hh.ru,1255,21,70,60000.0,70000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
128456392,Менеджер по работе с корпоративными клиентами,https://api.hh.ru/vacancies/128456392?host=hh.ru,1255,21,70,86870.0,,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
128514668,Менеджер по продажам (Косметология),https://api.hh.ru/vacancies/128514668?host=hh.ru,1255,21,70,120000.0,,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
128382882,Менеджер по продажам,https://api.hh.ru/vacancies/128382882?host=hh.ru,1255,21,70,80000.0,,RUR,True,MONTH,,fullDay
127464153,Менеджер по продажам (бронист),https://api.hh.ru/vacancies/127464153?host=hh.ru,1255,21,70,50000.0,100000.0,RUR,False,MONTH,,shift
127835802,Менеджер по работе с клиентами B2B,https://api.hh.ru/vacancies/127835802?host=hh.ru,1255,21,70,80000.0,,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
